-5 -5 0.7071067811865475
-5 -4 0.7893522173763262
-5 -3 0.8741572761215377
-5 -2 0.9486832980505138
-5 -1 0.9938837346736189
-5 0 0.9938837346736189
-5 1 0.9486832980505138
-5 2 0.8741572761215377
-5 3 0.7893522173763262
-5 4 0.7071067811865475
-4 -5 0.6139406135149205
-4 -4 0.7071067811865475
-4 -3 0.813733471206735
-4 -2 0.9191450300180578
-4 -1 0.9899494936611666
-4 0 0.9899494936611666
-4 1 0.9191450300180578
-4 2 0.813733471206735
-4 3 0.7071067811865475
-4 4 0.6139406135149205
-3 -5 0.48564293117863205
-3 -4 0.5812381937190964
-3 -3 0.7071067811865476
-3 -2 0.8574929257125442
-3 -1 0.9805806756909201
-3 0 0.9805806756909201
-3 1 0.8574929257125441
-3 2 0.7071067811865475
-3 3 0.5812381937190964
-3 4 0.48564293117863205
-2 -5 0.3162277660168379
-2 -4 0.39391929857916763
-2 -3 0.5144957554275266
-2 -2 0.7071067811865476
-2 -1 0.9486832980505139
-2 0 0.9486832980505139
-2 1 0.7071067811865475
-2 2 0.5144957554275263
-2 3 0.39391929857916763
-2 4 0.3162277660168379
-1 -5 0.1104315260748465
-1 -4 0.14142135623730948
-1 -3 0.19611613513818396
-1 -2 0.3162277660168379
-1 -1 0.7071067811865476
-1 0 0.7071067811865476
-1 1 0.3162277660168378
-1 2 0.19611613513818393
-1 3 0.14142135623730945
-1 4 0.1104315260748465
0 -5 -0.1104315260748465
0 -4 -0.14142135623730948
0 -3 -0.19611613513818396
0 -2 -0.3162277660168379
0 -1 -0.7071067811865476
0 0 -0.7071067811865476
0 1 -0.3162277660168378
0 2 -0.19611613513818393
0 3 -0.14142135623730945
0 4 -0.1104315260748465
1 -5 -0.316227766016838
1 -4 -0.3939192985791677
1 -3 -0.5144957554275266
1 -2 -0.7071067811865476
1 -1 -0.9486832980505139
1 0 -0.9486832980505139
1 1 -0.7071067811865475
1 2 -0.5144957554275265
1 3 -0.3939192985791677
1 4 -0.316227766016838
2 -5 -0.4856429311786322
2 -4 -0.5812381937190966
2 -3 -0.7071067811865477
2 -2 -0.8574929257125443
2 -1 -0.9805806756909202
2 0 -0.9805806756909202
2 1 -0.8574929257125442
2 2 -0.7071067811865476
2 3 -0.5812381937190965
2 4 -0.4856429311786322
3 -5 -0.6139406135149205
3 -4 -0.7071067811865476
3 -3 -0.813733471206735
3 -2 -0.9191450300180579
3 -1 -0.9899494936611666
3 0 -0.9899494936611666
3 1 -0.9191450300180579
3 2 -0.8137334712067349
3 3 -0.7071067811865476
3 4 -0.6139406135149205
4 -5 -0.7071067811865475
4 -4 -0.7893522173763262
4 -3 -0.8741572761215377
4 -2 -0.9486832980505138
4 -1 -0.9938837346736189
4 0 -0.9938837346736189
4 1 -0.9486832980505138
4 2 -0.8741572761215377
4 3 -0.7893522173763262
4 4 -0.7071067811865475
